cim;rendezo;szarmazas;kezdesEve;kategoria;evadok
Charly, majom a családban;Dieter Kehler, Franz Josef Gottlieb, Helmut Förnbacher;német;1995;vígjáték;16
Cheers;Andy Ackerman, Rick Beren;amerikai;1982;dráma;11
Chuck;Robert Duncan McNeill;amerikai;2007;vígjáték;5
Cleveland Show;Anthony Lioi;amerikai;2009;rajzfilm;4
Cobra 11;Arend Aghte, Diethard Küster, Gabriele Heberling;német;1996;dráma;42
Columbo;Richard Irving;amerikai;1971;krimi;13
Csengetett, Mylord?;David Croft;amerikai;1988;vígjáték;4
CSI - A helyszínelők;Charles Correll, Danny Cannon, Jefery Levy;amerikai;2000;krimi;16
CSI - Miami Helyszínelők;Ann Donahue, Anthony E. Zuiker, Carol Mendelsohn;amerikai;2002;dráma;10
CSI - New York-i helyszínelők;Deran Sarafian, Greg Yaitanes, Norberto Barba;amerikai;2004;dráma;9
Csillagkapu Atlantisz;Brad Wright, Robert C. Cooper;amerikai;2004;dráma;5
Csodabogarak (Aprónép);Hélene Girard, Thomas Szabo;francia;2006;animációs;6
Daktari;Andrew Marton, Dick Moder, Don McDougall;amerikai;1966;kaland;4
Dallas;Barry Crane, Dwight Adair;amerikai;1978;dráma;14
Dallas 2012;Michael M. Robin;amerikai;2012;dráma;3
Dawson és a haverok;Allan Arkush, Michael Fields, Lou Antonio;amerikai;1998;dráma;6
Derrick;Alfred Weidenmann, Helmut Ashley, Horst Tappert;német;1974;krimi;25
Dexter;Marcos Siega, Michael Cuesta, Robert Lieberman;amerikai;2006;krimi;8
Dexter laboratóriuma;Genndy Tartakovsky;amerikai;1996;rajzfilm;4
Egy kapcsolat szabályai;Ted Wass;amerikai;2007;vígjáték;7
Egy rém rendes család;Amanda Bearse, Brian Levant, Gerry Cohen;amerikai;1987;vígjáték;11
Egynyári kaland;Dyga Zsombor;magyar;2015;vígjáték;3
Egyről a kettőre;William Bickley, Richard Correll, Patrick Duffy;amerikai;1991;vígjáték;7
Egyszer volt az ember;Albert Barillé;francia;1978;rajzfilm;1
Egyszer volt, hol nem volt... a Föld;Albert Barillé;francia;2009;rajzfilm;1
Egyszer volt... az élet;Albert Barillé;francia;1988;rajzfilm;1
Elcserélt lányok;Steve Miner;amerikai;2011;dráma;5
Életem értelmei;Andy Cadiff, Leonard R. Garner Jr.;amerikai;2001;vígjáték;5
Elsüllyedt világok;Michel Gauthier;francia;1958;rajzfilm;2
Eltűntnek nyilvánítva;Bill Duke, Holly Dale, John Fawcett;amerikai;2003;akció;3
Éretlenek;Gárdos Péter, Kolos István, Szurdi Miklós;magyar;1995;vígjáték;2
Esküdt ellenségek: Bűnös szándék;Christine Moore, Christopher Zalla, Constantine Makris;amerikai;2001;krimi;10
Esmeralda;Beatriz Sheridan, Martha Luna;latin-amerikai;1997;szappanopera;1
Esperanza;Sergio Jiménez;latin-amerikai;1999;szappanopera;1
Everwood;Arlene Sanford, Arvin Brown, Danny Leiner;amerikai;2002;dráma;4
Familia Kft.;Gát György, Rozgonyi Ádám, Szurdi Miklós;magyar;1991;vígjáték;5
Family Guy;Andrew Gormley;amerikai;1999;vígjáték;16
Fear the Walking Dead;Adam Davidson, Kari Skogland, Stefan Schwartz;amerikai;2015;dráma;4
Fecsegő tipegők;Craig Bartlett, Howard E. Baker;amerikai;1990;vígjáték;10
Felhőtlen Philadelphia;Glenn Howerton, Rob McElhenney ;amerikai;2005;vígjáték;14
Férjek gyöngye;Henry Chan, Mark Cendrowski, Robert Berlinger;amerikai;1998;vígjáték;9
Fiorella;Luis Pardo, Pedro Damián;mexikói;2014;szappanopera;1
Flash - A Villám;David Nutter, Dermott Downs, Glen Winter;amerikai;2014;akció;4
Futurama;David X. Cohen, Matt Groening ;amerikai;1999;rajzfilm;7
Génrejtek;Martin Wood;amerikai;2008;dráma;4
Glee - Sztárok leszünk!;Brad Falchuk, Elodie Keene, John Scott;amerikai;2009;vígjáték;6
Gossip Girl - A Pletykafészek;J. Miller Tobin, Joe Lazarov, Mark Piznarski;amerikai;2007;dráma;6
Gotham;Danny Cannon, Dermott Downs, T.J. Scott;amerikai;2014;akció;4
Grimm;Allan Kroeker, Norberto Barba, Peter Werner;amerikai;2011;akció;6
Gyilkos elmék;Charles Haid, Richard Shepard;amerikai;2005;bűnügyi;13
Gyilkos sorok;Peter S. Fischer, Richard Levinson, William Link;amerikai;1984;krimi;12
Gyilkos Számok;Bobby Roth, Davis Guggenheim, Jefery Levy;amerikai;2005;krimi;6
