filmazon	munkakorazon	alkotoazon
40098	6	250
40098	6	289
40098	3	292
40098	1	292
40098	6	428
40098	4	455
40107	7	13
40107	3	60
40107	1	60
40107	7	130
40107	3	175
40107	7	202
40107	5	225
40107	2	331
40116	1	160
40116	2	186
40125	2	31
40125	1	31
40125	4	225
40155	3	11
40155	1	11
40155	6	46
40155	3	106
40155	4	106
40155	6	124
40155	6	154
40155	6	178
40155	6	256
40155	2	324
40155	6	357
40158	1	94
40158	2	191
40158	6	194
40164	6	6
40164	6	62
40164	2	129
40164	6	185
40164	3	203
40164	6	235
40164	6	304
40164	3	308
40164	1	308
40164	6	326
40164	2	424
40167	7	20
40167	7	301
40167	2	332
40167	7	373
40167	5	384
40167	7	388
40167	3	456
40167	1	456
40188	4	128
40188	2	287
40188	1	436
40197	1	60
40197	2	331
40197	4	407
40230	5	44
40230	2	281
40230	1	437
40233	3	127
40233	1	127
40236	1	252
40242	4	128
40242	2	331
40242	1	401
40245	5	39
40245	6	250
40245	6	280
40245	1	292
40245	2	445
40889	1	4
40889	4	97
40889	5	141
40889	2	228
40892	4	28
40892	6	57
40892	5	102
40892	6	188
40892	3	215
40892	1	215
40892	6	268
40892	6	276
40892	6	279
40892	6	302
40892	3	368
40892	2	413
40895	3	446
40895	1	446
40898	6	5
40898	1	93
40898	6	113
40898	6	150
40898	6	164
40898	6	198
40898	3	275
40898	2	343
40898	6	351
40898	5	444
40907	6	13
40907	3	27
40907	1	27
40907	6	29
40907	6	64
40907	6	68
40907	4	73
40907	5	155
40907	6	172
40907	6	173
40913	6	10
40913	6	56
40913	6	124
40913	3	169
40913	6	237
40913	6	345
40913	2	369
40913	6	387
40913	1	403
40916	2	76
40916	1	94
40919	5	114
40919	2	234
40919	6	273
40919	6	277
40919	3	282
40919	6	316
40919	1	340
40919	6	351
40919	6	352
40919	6	406
40925	2	50
40925	5	53
40925	4	70
40925	3	100
40925	6	184
40925	6	213
40925	6	221
40925	6	238
40925	6	299
40925	6	338
40925	1	389
40928	6	36
40928	6	98
40928	6	183
40928	6	188
40928	6	205
40928	2	272
40928	6	387
40928	3	446
40928	1	446
40931	6	55
40931	3	66
40931	6	68
40931	1	158
40931	6	188
40931	2	229
40931	6	233
40931	6	353
40931	6	431
40934	6	8
40934	2	76
40934	1	99
40934	3	116
40934	4	116
40934	6	205
40934	6	206
40934	6	288
40934	3	333
40934	6	396
40934	6	431
40937	6	16
40937	3	58
40937	6	133
40937	5	170
40937	6	198
40937	2	208
40937	6	264
40937	6	365
40937	1	405
40937	6	449
40943	3	4
40943	1	4
40943	2	228
40943	5	415
40946	1	138
40949	1	135
40949	1	377
40958	6	105
40958	6	125
40958	6	134
40958	3	200
40958	1	200
40958	6	204
40958	6	339
40958	6	362
40958	2	417
40961	6	41
40961	5	81
40961	3	215
40961	1	215
40961	4	232
40961	6	236
40961	6	244
40961	2	324
40961	6	337
40961	6	387
40961	6	443
40976	6	47
40976	6	87
40976	6	89
40976	1	120
40976	6	188
40976	3	210
40976	6	266
40976	6	399
40976	2	413
40988	2	76
40988	6	77
40988	3	144
40988	1	144
40988	6	157
40988	3	165
40988	4	165
40988	6	245
40988	6	416
40988	6	432
40991	1	211
40994	2	121
40994	1	272
40997	3	4
40997	1	4
40997	3	127
40997	2	228
40997	3	248
40997	5	303
41000	2	152
41000	3	346
41000	1	346
41003	4	122
41003	1	251
41006	1	121
41006	2	272
41063	2	382
41063	1	397
43758	6	64
43758	2	76
43758	6	77
43758	6	80
43758	5	141
43758	1	144
43758	3	177
43758	6	189
43758	6	206
43758	6	293
44274	6	33
44274	4	109
44274	6	131
44274	6	161
44274	3	187
44274	1	313
44274	2	328
44274	6	336
44274	6	394
44274	6	423
