nev	tipus	terulet	vizgyujto
Péri-halastavak	mesterséges	0.79	99
Gálosfai-horgásztavak	mesterséges	0.56	32
Nagyréti-víztározó	mesterséges	2.17	3
Cikolai-tavak	morotvató	0.91	221
Tolnai-Északi-Holt-Duna	morotvató	1.56	94
Hársasberki-halastó	mesterséges	2.42	111
Velencei-tó	tektonikus	24.32	882
Tamási Gonozdi-patakon lévő halastavak	mesterséges	1	76
Hegyesdi-tározó	mesterséges	0.83	263
Mesztegnyői-halastórendszer	mesterséges	0.63	41
Kadia-Ó-Duna	morotvató	0.59	188
Pötrétei-tőzegbányatavak	bányató	3.34	3
Boldogasszonypusztai-tavak	mesterséges	1.17	49
Szalkszentmártoni-kavicsbányatavak	bányató	0.54	1
Szarvas-Békésszentandrási-holtágrendszer (Siratói- és Békésszentandrási-holtág)	morotvató	2.07	1132
