id	datum	ido	telepid	magnitudo	intenzitas
74	2013.05.18	20:34:19	44	2,9	4,5
75	2012.04.06	9:05:17	38	2,7	5
76	2011.07.11	6:05:59	61	3,5	5
77	2015.12.23	21:22:38	3	3,1	5
78	2002.02.11	16:41:33	70	2,9	5
79	2009.10.05	19:06:05	110	2,6	4
80	2006.12.31	13:39:23	40	4,1	6
81	1995.09.12	22:14:05	116	3,5	5,5
82	2022.11.09	10:37:19	120	2,3	3,5
83	2010.10.30	21:24:49	106	2,8	4,5
84	2003.07.01	11:26:14	47	3,4	5
85	2021.03.02	3:12:28	98	2,6	3,5
86	2013.08.07	8:01:16	108	2,5	4,5
87	2002.10.12	18:49:11	50	3,3	4,5
88	2000.06.28	19:19:16	114	2,6	4
89	2010.02.08	15:26:16	115	2,7	5
90	2020.08.15	16:43:44	86	2,3	3,5
91	2010.08.26	22:29:57	60	2,7	4,5
92	2019.05.17	7:00:26	16	2,5	4
93	2012.12.25	17:01:35	103	2,5	4
94	2010.12.14	21:29:03	35	2,8	4,5
95	2015.11.19	15:39:35	12	2,6	3,5
96	2019.08.11	23:29:47	108	4,1	5
97	2010.08.19	1:29:04	72	3	4,5
98	2010.05.25	6:55:28	112	3,1	5
99	2003.06.27	1:19:19	50	2,4	3,5
100	2002.05.08	14:57:04	111	2,9	4
101	2002.02.22	11:52:34	61	2,9	4
102	2022.10.19	7:22:20	96	2,3	2
103	2017.01.24	12:18:17	29	2,2	4
104	2013.06.11	5:31:25	23	2,3	4
105	2013.12.30	22:21:52	49	2,3	3,5
106	1998.12.06	14:35:03	41	2,6	3,5
107	1999.09.03	9:38:19	6	3,4	3
108	2003.08.09	22:01:17	65	3,8	5,5
109	2019.12.13	16:57:45	99	2,8	4
110	2020.10.10	12:37:38	33	2,5	4
111	2013.07.02	19:47:00	109	2,3	3,5
112	2013.04.24	3:39:36	44	2,5	2,5
113	2003.07.13	2:29:09	117	3,1	5
114	2003.04.03	4:59:00	78		3,5
115	2003.10.07	22:08:25	68	2,6	3,5
116	1999.01.04	0:30:36	75	3,8	4,5
117	2013.07.02	19:07:31	32	3,4	5,5
118	2003.12.16	7:06:20	88	3,8	5,5
119	2000.10.07	0:42:11	17	2,1	4
120	2000.05.01	17:54:41	114	2,6	4
121	2006.11.23	7:15:21	9	4,5	5,5
122	2010.08.31	23:14:26	27	1,9	4
123	1998.01.12	4:15:45	4	2	3,5
124	2013.12.01	6:04:31	118	3,1	5
125	1997.03.03	14:33:00	63	2,4	4
126	2010.08.14	6:57:26	72	2,7	3,5
127	1997.06.17	13:33:45	25	3,1	3,5
128	2014.08.03	1:48:06	48	3	4,5
129	1995.01.23	19:43:07	10	2,2	4
130	2013.05.08	20:49:14	52	1,7	2
131	2019.07.13	12:41:13	11	2,4	4
132	2004.05.25	7:30:14	7	3,8	5,5
133	2022.12.17	11:39:03	24	2,8	4
134	2008.06.25	1:22:55	113	2,5	4,5
135	2020.06.03	15:51:00	97	3,4	5
136	2005.05.16	13:39:44	26	2,8	5
137	2012.03.20	1:21:22	101	2,4	4
138	2007.03.03	20:35:33	14	3	5
139	2005.05.15	13:30:48	84	3,5	5
140	2022.07.28	15:22:12	90	2,6	3
141	2007.09.15	4:39:33	46	2,7	4,5
142	2014.05.08	6:37:56	90	2,8	4,5
143	2015.12.15	17:55:32	76	2,4	4,5
144	1997.07.16	20:43:32	59	2,8	4
145	2015.01.01	19:44:36	48	2,8	4
146	2015.07.19	9:27:17	121	2,9	2
147	2020.12.25	5:22:47	37	1,4	3
148	2013.02.16	17:18:42	44	3,6	4,5
149	1999.06.04	2:09:45	95	3	4
150	2002.01.28	3:18:02	62	2,4	4,5
151	2014.01.21	1:06:05	48	2,7	4
152	2010.08.19	14:48:06	57	2,4	4,5
153	1997.11.27	10:40:57	79	2,5	3,5
154	2003.07.10	2:40:18	91	2,4	4
155	2014.01.19	1:34:34	22	4,2	6
156	2013.05.24	18:54:55	31	1,8	4
157	2011.01.30	20:58:45	81	2,7	4,5
158	2020.01.05	1:13:22	8	3,5	5
159	2021.09.18	3:07:04	49	2,9	4
160	2016.11.05	23:44:23	102	2,4	3,5
161	1998.05.08	4:06:54	16	2	3
162	2013.07.11	6:10:20	44	1,9	3,5
163	2013.06.04	7:13:23	20	2,2	3,5
164	2014.02.19	15:54:25	32	2,5	4,5
165	1996.09.29	21:45:53	36	3,2	4
166	2011.11.01	23:56:33	73	3,5	5
167	2009.11.25	10:07:35	10	2,8	3,5
168	2014.02.11	9:15:27	77	2,6	4
169	2010.11.21	2:35:07	66	2,4	4,5
170	2019.07.22	23:14:05	51	2,1	4
171	2020.10.19	9:50:06	35	2,9	5
172	2020.12.25	5:42:35	28	2	4
173	2019.02.22	18:57:53	2	2,2	3
