datum;helyszin;nev;nem;szuldat;nemzet;helyezes;hiba;csapat;tipus;motor
1958.05.18;Monaco;Jean Behra;F;1921.2.16;francia;;törés;Owen Racing Organisation;BRM;BRM
1953.05.30;USA;Bob Scott;F;1928.10.4;amerikai;12;;Lee Elkins;Kurtis;Offenhauser
1954.07.17;Nagy-Britannia;Bill Whitehouse;F;1909.4.1;brit;;motor;;Connaught;Lea
1950.05.13;Nagy-Britannia;Johnny Claes;F;1916.8.11;belga;11;;Ecurie Belge;Talbot-Lago;Talbot
1957.01.13;Argentína;Mike Hawthorn;F;1929.4.10;brit;;kuplung;Scuderia Ferrari;Lancia;Lancia
1952.09.07;Olaszország;Alan Brown;F;1919.11.20;brit;15;;Ecurie Richmond;Cooper;Bristol
1958.07.19;Nagy-Britannia;Jack Brabham;F;1926.4.2;ausztrál;6;;Cooper Car Company;Cooper;Climax
1958.10.19;Marokkó;Stirling Moss;F;1929.9.17;brit;1;;Vandervell Products Ltd;Vanwall;Vanwall
1952.05.30;USA;Bob Sweikert;F;1926.5.20;amerikai;;differenciálmû;Lee Elkins;Kurtis;Offenhauser
1952.07.06;Franciaország;Peter Whitehead;F;1914.11.12;brit;;kuplung;;Alta;Alta
1959.09.13;Olaszország;Harry Schell;F;1921.6.29;amerikai;7;;Owen Racing Organisation;BRM;BRM
1954.08.01;Németország;Theo Helfrich;F;1913.5.13;német;;motor;Hans Klenk-Meteor;Klenk-Meteor;BMW
1952.08.03;Németország;Bill Aston;F;1900.3.29;brit;;olajnyomás;WS Aston;Aston;Butterworth
1959.05.10;Monaco;Bruce Halford;F;1931.5.18;brit;;karambol;John Fisher;Lotus;Climax
1955.01.16;Argentína;Karl Kling;F;1910.9.16;német;;karambol;Daimler Benz AG;Mercedes;Mercedes
1952.08.03;Németország;Willi Krakau;F;1911.12.4;német;;nem rajtolt el;;AFM;BMW
1958.06.15;Belgium;Francesco Godia;F;1921.3.21;spanyol;;motor;Francesco Godia-Sales;Maserati;Maserati
1950.06.18;Belgium;Geoff Crossley;F;1921.5.11;brit;9;;;Alta;Alta
1954.07.04;Franciaország;Luigi Villoresi;F;1909.5.16;olasz;5;;Officine Alfieri Maserati;Maserati;Maserati
1953.07.18;Nagy-Britannia;Jimmy Stewart;F;1931.3.6;brit;;karambol;Ecurie Ecosse;Cooper;Bristol
1958.08.03;Németország;Troy Ruttman;F;1930.3.11;amerikai;;motor;Scuderia Centro Sud;Maserati;Maserati
1960.06.19;Belgium;Lucien Bianchi;F;1934.11.10;belga;6;;Equipe Nationale Belge;Cooper;Climax
1956.08.05;Németország;Alfonso de Portago;F;1928.10.11;spanyol;;kiesett;Scuderia Ferrari;Lancia;Lancia
1960.11.20;USA;Brian Naylor;F;1923.3.24;brit;;motor;JB Naylor;JBW;Maserati
1956.07.14;Nagy-Britannia;Cesare Perdisa;F;1932.10.21;olasz;7;;Officine Alfieri Maserati;Maserati;Maserati
1954.05.31;USA;Chuck Stevenson;F;1919.10.15;amerikai;12;;Kuzma;Kuzma;Offenhauser
1954.08.01;Németország;Stirling Moss;F;1929.9.17;brit;;motor;Officine Alfieri Maserati;Maserati;Maserati
1952.05.30;USA;Sam Hanks;F;1914.7.13;amerikai;3;;Ed Walsh;Kurtis;Offenhauser
1958.07.06;Franciaország;Cliff Allison;F;1932.2.8;brit;;motor;Team Lotus;Lotus;Climax
1954.07.17;Nagy-Britannia;Reg Parnell;F;1911.7.2;brit;;kiesett;Scuderia Ambrosiana;Ferrari;Ferrari
1958.05.18;Monaco;Maria-Teresa de Filippis;N;1926.11.11;olasz;;kizárták;;Maserati;Maserati
1959.05.30;USA;Duane Carter;F;1913.5.5;amerikai;7;;Leader Cards Inc;Kurtis;Offenhauser
1950.05.30;USA;Jack McGrath;F;1919.10.8;amerikai;14;;Jack Hinkle;Kurtis;Offenhauser
1959.05.30;USA;Bill Cheesbourg;F;1927.6.12;amerikai;;gyújtás;Kuzma;Kuzma;Offenhauser
1953.05.30;USA;Ernie McCoy;F;1921.2.19;amerikai;8;;HA Chapman;Stevens;Offenhauser
1953.05.30;USA;Gene Hartley;F;1926.1.28;amerikai;;karambol;Federal Auto Associates;Kurtis;Offenhauser
1953.07.05;Franciaország;Juan-Manuel Fangio;F;1911.6.24;argentín;2;;Officine Alfieri Maserati;Maserati;Maserati
1960.07.03;Franciaország;Innes Ireland;F;1930.12.16;brit;7;;Team Lotus;Lotus;Climax
1952.07.19;Nagy-Britannia;Eitel Cantoni;F;1906.10.4;uruguayi;;törés;Escuderia Bandeirantes;Maserati;Maserati
1951.07.29;Németország;Philippe Etancelin;F;1896.12.28;francia;;sebességváltó;;Talbot-Lago;Talbot
1957.07.20;Nagy-Britannia;Stirling Moss;F;1929.9.17;brit;;kiesett;Vandervell Products Ltd;Vanwall;Vanwall
1957.08.18;Olaszország;Stuart Lewis-Evans;F;1930.4.20;brit;5;;Vandervell Products Ltd;Vanwall;Vanwall
1953.08.02;Németország;Kurt Adolff;F;1921.11.5;német;;kiesett;Ecurie Espadon;Ferrari;Ferrari
1957.07.07;Franciaország;Peter Collins;F;1931.11.8;brit;3;;Scuderia Ferrari;Lancia;Lancia
1951.05.27;Svájc;Guy Mairesse;F;1910.8.10;francia;14;;Ecurie Belgique;Talbot-Lago;Talbot
1952.07.19;Nagy-Britannia;Peter Hirt;F;1910.3.30;svájci;;törés;Ecurie Espadon;Ferrari;Ferrari
1953.07.18;Nagy-Britannia;Giuseppe Farina;F;1906.10.30;olasz;3;;Scuderia Ferrari;Ferrari;Ferrari
1959.05.30;USA;Len Sutton;F;1925.8.9;amerikai;;karambol;Lesovsky;Lesovsky;Offenhauser
1952.06.22;Belgium;Stirling Moss;F;1929.9.17;brit;;motor;ERA Ltd;ERA;Bristol
1953.05.30;USA;Chuck Stevenson;F;1919.10.15;amerikai;;benzinfolyás;JC Agajanian;Kurtis;Offenhauser
1954.08.22;Svájc;Karl Kling;F;1910.9.16;német;;benzinbefecskendezõ;Daimler Benz AG;Mercedes;Mercedes
1951.10.28;Spanyolország;Jose-Froilan Gonzalez;F;1922.10.5;argentín;2;;Scuderia Ferrari;Ferrari;Ferrari
1951.07.01;Franciaország;Alberto Ascari;F;1918.7.13;olasz;;sebességváltó;Scuderia Ferrari;Ferrari;Ferrari
1954.09.05;Olaszország;Sergio Mantovani;F;1929.5.22;olasz;9;;Officine Alfieri Maserati;Maserati;Maserati
1957.07.20;Nagy-Britannia;Ivo Bueb;F;1923.6.6;brit;8;;Gilby Engineering Ltd;Maserati;Maserati
1959.07.05;Franciaország;Jean Behra;F;1921.2.16;francia;;dugattyú;Scuderia Ferrari;Ferrari;Ferrari
1960.07.03;Franciaország;Ian Burgess;F;1930.7.6;brit;10;;Scuderia Centro Sud;Cooper;Maserati
1953.05.30;USA;Duke Nalon;F;1913.3.12;amerikai;11;;Jean Marcenac;Kurtis;Novi
1955.07.16;Nagy-Britannia;Leslie Marr;F;1922.8.14;brit;;karambol;;Connaught;Alta
1952.09.07;Olaszország;Piero Taruffi;F;1906.10.12;olasz;7;;Scuderia Ferrari;Ferrari;Ferrari
1950.05.30;USA;Fred Agabashian;F;1913.8.21;amerikai;;olajfolyás;Kurtis Kraft;Kurtis;Offenhauser
1956.05.13;Monaco;Harry Schell;F;1921.6.29;amerikai;;karambol;Vandervell Products Ltd;Vanwall;Vanwall
1953.08.23;Svájc;Maurice Trintignant;F;1917.10.30;francia;;sebességváltó;Equipe Gordini;Gordini;Gordini
1954.08.01;Németország;Andre Pilette;F;1918.10.6;belga;;sebességváltó;Equipe Gordini;Gordini;Gordini
1958.08.03;Németország;Wolfgang Seidel;F;1926.7.4;német;;kiállás;Rob Walker Racing Team;Cooper;Climax
1953.01.18;Argentína;Mike Hawthorn;F;1929.4.10;brit;4;;Scuderia Ferrari;Ferrari;Ferrari
1954.07.17;Nagy-Britannia;Jean Behra;F;1921.2.16;francia;;sebességváltó;Equipe Gordini;Gordini;Gordini
1952.09.07;Olaszország;Eitel Cantoni;F;1906.10.4;uruguayi;11;;Escuderia Bandeirantes;Maserati;Maserati
1952.07.19;Nagy-Britannia;Emanuel de Graffenried;F;1914.5.18;svájci;19;;Enrico Plate;Maserati;Plate
1959.08.02;Németország;Maurice Trintignant;F;1917.10.30;francia;4;;Rob Walker Racing Team;Cooper;Climax
1950.07.02;Franciaország;Philippe Etancelin;F;1896.12.28;francia;5;;;Talbot-Lago;Talbot
1959.05.31;Hollandia;Jean Behra;F;1921.2.16;francia;5;;Scuderia Ferrari;Ferrari;Ferrari
1950.07.02;Franciaország;Charles Pozzi;F;1909.8.27;francia;6;;;Talbot-Lago;Talbot
1954.01.17;Argentína;Giuseppe Farina;F;1906.10.30;olasz;2;;Scuderia Ferrari;Ferrari;Ferrari
1960.09.04;Olaszország;Gino Munaron;F;1928.4.2;olasz;;olajfolyás;Scuderia Castellotti;Cooper;Castellotti
1959.07.18;Nagy-Britannia;Carroll Shelby;F;1923.1.11;amerikai;;gyújtás;David Brown Corporation;Aston;Aston
1960.05.30;USA;Jim Rathmann;F;1928.7.16;amerikai;1;;Watson;Watson;Offenhauser
1956.08.05;Németország;Luigi Piotti;F;1913.10.27;olasz;;nem rajtolt el;Luigi Piotti;Maserati;Maserati
1952.08.03;Németország;Rudolf Schoeller;F;1902.4.27;svájci;;kiállás;Ecurie Espadon;Ferrari;Ferrari
1953.08.02;Németország;Prince Birabongse Bhanuban;F;1914.7.15;thaiföldi;;kiállás;Connaught Engineering;Connaught;Lea
1956.07.14;Nagy-Britannia;Jean Behra;F;1921.2.16;francia;3;;Officine Alfieri Maserati;Maserati;Maserati
1953.07.05;Franciaország;Alberto Ascari;F;1918.7.13;olasz;4;;Scuderia Ferrari;Ferrari;Ferrari
1957.07.20;Nagy-Britannia;Luigi Musso;F;1924.7.28;olasz;2;;Scuderia Ferrari;Lancia;Lancia
1956.08.05;Németország;Luigi Musso;F;1924.7.28;olasz;;kiesett;Scuderia Ferrari;Lancia;Lancia
1956.09.02;Olaszország;Jean Behra;F;1921.2.16;francia;;kiesett;Officine Alfieri Maserati;Maserati;Maserati
1958.10.19;Marokkó;Francois Picard;F;1921.4.26;francia;;karambol;Rob Walker Racing Team;Cooper;Climax
1955.06.05;Belgium;Stirling Moss;F;1929.9.17;brit;2;;Daimler Benz AG;Mercedes;Mercedes
1952.09.07;Olaszország;Emanuel de Graffenried;F;1914.5.18;svájci;;kizárták;Enrico Plate;Maserati;Plate
1960.02.07;Argentína;Gino Munaron;F;1928.4.2;olasz;13;;;Maserati;Maserati
1952.09.07;Olaszország;Peter Collins;F;1931.11.8;brit;;kizárták;HW Motors;HWM;Alta
1956.07.14;Nagy-Britannia;Jack Fairman;F;1913.3.15;brit;4;;Connaught Engineering;Connaught;Alta
1960.09.04;Olaszország;Vic Wilson;F;1931.4.14;dél-afrikai;;olajteknõ;Equipe Prideaux / Dick Gibson;Cooper;Climax
1957.05.19;Monaco;Horace Gould;F;1921.9.20;brit;;karambol;;Maserati;Maserati
1958.08.03;Németország;Mike Hawthorn;F;1929.4.10;brit;;kuplung;Scuderia Ferrari;Ferrari;Ferrari
1951.10.28;Spanyolország;Prince Birabongse Bhanuban;F;1914.7.15;thaiföldi;;motor;Ecurie Siam;Maserati;Osca
1960.05.30;USA;Tony Bettenhausen;F;1916.9.12;amerikai;;motor;Watson;Watson;Offenhauser
1955.06.19;Hollandia;Hernando da Silva-Ramos;F;1925.12.7;brazil;8;;Equipe Gordini;Gordini;Gordini
1958.07.06;Franciaország;Peter Collins;F;1931.11.8;brit;5;;Scuderia Ferrari;Ferrari;Ferrari
1953.09.13;Olaszország;Emanuel de Graffenried;F;1914.5.18;svájci;;motor;;Maserati;Maserati
1955.01.16;Argentína;Stirling Moss;F;1929.9.17;brit;;benzinhiány;Daimler Benz AG;Mercedes;Mercedes
1957.05.19;Monaco;Mike Hawthorn;F;1929.4.10;brit;;kiesett;Scuderia Ferrari;Lancia;Lancia
1950.06.04;Svájc;Louis Rosier;F;1905.11.5;francia;3;;Automobiles Talbot-Darracq SA;Talbot-Lago;Talbot
1953.05.30;USA;Andy Linden;F;1922.4.5;amerikai;;karambol;Rotary Engineering;Kurtis;Offenhauser
1959.08.02;Németország;Bruce McLaren;F;1937.8.30;új-zélandi;;kuplung;Cooper Car Company;Cooper;Climax
1956.07.01;Franciaország;Luigi Villoresi;F;1909.5.16;olasz;;törés;Luigi Piotti;Maserati;Maserati
1951.07.01;Franciaország;Luigi Fagioli;F;1898.6.9;olasz;1;;Alfa Romeo SpA;Alfa;Alfa
1951.07.01;Franciaország;Maurice Trintignant;F;1917.10.30;francia;;motor;Equipe Gordini;Simca-Gordini;Simca-Gordini
1954.10.24;Spanyolország;Francesco Godia;F;1921.3.21;spanyol;6;;Officine Alfieri Maserati;Maserati;Maserati
1950.05.30;USA;Walt Ader;F;1913.12.15;amerikai;22;;Sampson Manufacturing;Rae;Offenhauser
1954.07.17;Nagy-Britannia;Karl Kling;F;1910.9.16;német;7;;Daimler Benz AG;Mercedes;Mercedes
1956.05.13;Monaco;Robert Manzon;F;1917.4.12;francia;;karambol;Equipe Gordini;Gordini;Gordini
1955.05.22;Monaco;Jacques Pollet;F;1932.7.2;francia;7;;Equipe Gordini;Gordini;Gordini
1952.07.06;Franciaország;Lance Macklin;F;1919.9.2;brit;9;;HW Motors;HWM;Alta
1952.08.03;Németország;Maurice Trintignant;F;1917.10.30;francia;;karambol;Equipe Gordini;Gordini;Gordini
1958.07.19;Nagy-Britannia;Graham Hill;F;1929.2.15;brit;;túlhajtás;Team Lotus;Lotus;Climax
1959.12.12;USA;Alan Stacey;F;1933.8.29;brit;;kuplung;Team Lotus;Lotus;Climax
1960.09.04;Olaszország;Alfonso Thiele;F;1922.4.5;amerikai;;sebességváltó;Scuderia Centro Sud;Cooper;Maserati
1951.05.30;USA;Bobby Ball;F;1925.8.26;amerikai;5;;John McDaniel;Schroeder;Offenhauser
1954.01.17;Argentína;Luigi Musso;F;1924.7.28;olasz;;motor;Officine Alfieri Maserati;Maserati;Maserati
1960.11.20;USA;Stirling Moss;F;1929.9.17;brit;1;;Rob Walker Racing Team;Lotus;Climax
1952.05.30;USA;Bobby Ball;F;1925.8.26;amerikai;;sebességváltó;Rotary Engineering;Stevens;Offenhauser
1954.08.22;Svájc;Harry Schell;F;1921.6.29;amerikai;;olajpumpa;Officine Alfieri Maserati;Maserati;Maserati
1955.09.11;Olaszország;Roberto Mieres;F;1924.12.3;argentín;7;;Officine Alfieri Maserati;Maserati;Maserati
1950.05.21;Monaco;Harry Schell;F;1921.6.29;amerikai;;karambol;Horschell Racing Corporation;Cooper;JAP
1958.08.03;Németország;Graham Hill;F;1929.2.15;brit;;olajfolyás;Team Lotus;Lotus;Climax
1956.05.13;Monaco;Cesare Perdisa;F;1932.10.21;olasz;7;;Officine Alfieri Maserati;Maserati;Maserati
1957.08.04;Németország;Luigi Musso;F;1924.7.28;olasz;4;;Scuderia Ferrari;Lancia;Lancia
1958.10.19;Marokkó;Maurice Trintignant;F;1917.10.30;francia;;motor;Rob Walker Racing Team;Cooper;Climax
1958.10.19;Marokkó;Roy Salvadori;F;1922.5.12;brit;7;;Cooper Car Company;Cooper;Climax
1960.02.07;Argentína;Masten Gregory;F;1932.2.29;amerikai;12;;Camoradi International;Behra-Porsche;Porsche
1950.06.04;Svájc;Juan-Manuel Fangio;F;1911.6.24;argentín;;motor;Alfa Romeo SpA;Alfa;Alfa
1954.06.20;Belgium;Sergio Mantovani;F;1929.5.22;olasz;7;;Officine Alfieri Maserati;Maserati;Maserati
1956.05.13;Monaco;Jean Behra;F;1921.2.16;francia;3;;Officine Alfieri Maserati;Maserati;Maserati
1958.05.30;USA;Johnny Boyd;F;1926.8.19;amerikai;3;;Kurtis Kraft;Kurtis;Offenhauser
1952.07.19;Nagy-Britannia;Piero Taruffi;F;1906.10.12;olasz;2;;Scuderia Ferrari;Ferrari;Ferrari
1958.05.30;USA;A J Foyt;F;1935.1.16;amerikai;;kicsúszás;Kuzma;Kuzma;Offenhauser
1960.05.29;Monaco;Innes Ireland;F;1930.12.16;brit;9;;Team Lotus;Lotus;Climax
1959.05.30;USA;A J Foyt;F;1935.1.16;amerikai;10;;Kuzma;Kuzma;Offenhauser
1955.05.22;Monaco;Maurice Trintignant;F;1917.10.30;francia;1;;Scuderia Ferrari;Ferrari;Ferrari
1950.05.30;USA;Duke Dinsmore;F;1914.4.10;amerikai;;olajfolyás;Verlin Brown;Kurtis;Offenhauser
1955.05.30;USA;Sam Hanks;F;1914.7.13;amerikai;;futómû;Kurtis Kraft;Kurtis;Offenhauser
1955.05.30;USA;Cal Niday;F;1916.4.29;amerikai;;karambol;Kurtis Kraft;Kurtis;Offenhauser
1959.09.13;Olaszország;Stirling Moss;F;1929.9.17;brit;1;;Rob Walker Racing Team;Cooper;Climax
1957.09.08;Olaszország;Andre Simon;F;1920.1.5;francia;11;;Ottoronio Volonterio;Maserati;Maserati
1951.07.01;Franciaország;Luigi Fagioli;F;1898.6.9;olasz;11;;Alfa Romeo SpA;Alfa;Alfa
1959.05.10;Monaco;Maurice Trintignant;F;1917.10.30;francia;3;;Rob Walker Racing Team;Cooper;Climax
1952.05.18;Svájc;Louis Rosier;F;1905.11.5;francia;;karambol;Ecurie Rosier;Ferrari;Ferrari
1952.05.30;USA;Troy Ruttman;F;1930.3.11;amerikai;1;;JC Agajanian;Kuzma;Offenhauser
1950.09.03;Olaszország;Louis Chiron;F;1899.8.3;monacoi;;olajnyomás;Officine Alfieri Maserati;Maserati;Maserati
1956.07.14;Nagy-Britannia;Hernando da Silva-Ramos;F;1925.12.7;brazil;;sebességváltó;Equipe Gordini;Gordini;Gordini
1959.08.23;Portugália;Masten Gregory;F;1932.2.29;amerikai;2;;Cooper Car Company;Cooper;Climax
1950.06.04;Svájc;Prince Birabongse Bhanuban;F;1914.7.15;thaiföldi;4;;Enrico Plate;Maserati;Maserati
1954.10.24;Spanyolország;Peter Collins;F;1931.11.8;brit;;karambol;G A Vandervell;Vanwall;Vanwall
1956.05.30;USA;Johnny Boyd;F;1926.8.19;amerikai;;olajfolyás;Kurtis Kraft;Kurtis;Offenhauser
1956.01.22;Argentína;Juan-Manuel Fangio;F;1911.6.24;argentín;;benzinpumpa;Scuderia Ferrari;Lancia;Lancia
1953.09.13;Olaszország;Lance Macklin;F;1919.9.2;brit;;motor;HW Motors;HWM;Alta
1959.09.13;Olaszország;Cliff Allison;F;1932.2.8;brit;5;;Scuderia Ferrari;Ferrari;Ferrari
1955.06.19;Hollandia;Johnny Claes;F;1916.8.11;belga;11;;Equipe Nationale Belge;Ferrari;Ferrari
1953.06.07;Hollandia;Giuseppe Farina;F;1906.10.30;olasz;2;;Scuderia Ferrari;Ferrari;Ferrari
1956.07.01;Franciaország;Hernando da Silva-Ramos;F;1925.12.7;brazil;8;;Equipe Gordini;Gordini;Gordini
1957.09.08;Olaszország;Wolfgang von Trips;F;1928.5.4;német;3;;Scuderia Ferrari;Lancia;Lancia
1951.06.17;Belgium;Piero Taruffi;F;1906.10.12;olasz;;sebességváltó;Scuderia Ferrari;Ferrari;Ferrari
1960.11.20;USA;Chuck Daigh;F;1923.11.29;amerikai;10;;Reventlow Automobiles Inc;Scarab;Scarab
